Time (mins),Lactate_rep1,Aspartic Acid_rep1,Threonine_rep1,Serine_rep1,Glutamine_rep1,Proline_rep1,Glycine_rep1,Alanine_rep1,Valine_rep1,Methionine_rep1,Isoleucine_rep1,Leucine_rep1,Tyrosine_rep1,Phenylalanine_rep1,Ornithine_rep1,Lysine_rep1,Histidine_rep1,Tryptophan_rep1,Arginine_rep1,Glucose_rep1,Cysteine_rep1,Lactate_rep2,Aspartic Acid_rep2,Threonine_rep2,Serine_rep2,Glutamine_rep2,Proline_rep2,Glycine_rep2,Alanine_rep2,Valine_rep2,Methionine_rep2,Isoleucine_rep2,Leucine_rep2,Tyrosine_rep2,Phenylalanine_rep2,Ornithine_rep2,Lysine_rep2,Histidine_rep2,Tryptophan_rep2,Arginine_rep2,Glucose_rep2,Cysteine_rep2,Lactate_rep3,Aspartic Acid_rep3,Threonine_rep3,Serine_rep3,Glutamine_rep3,Proline_rep3,Glycine_rep3,Alanine_rep3,Valine_rep3,Methionine_rep3,Isoleucine_rep3,Leucine_rep3,Tyrosine_rep3,Phenylalanine_rep3,Ornithine_rep3,Lysine_rep3,Histidine_rep3,Tryptophan_rep3,Arginine_rep3,Glucose_rep3,Cysteine_rep3
0,0.0944,0.0951,0.0963,0.1165,0.1283,0.1001,0.1015,0.0958,0.1267,0.1035,0.102,0.1277,0.1451,0.0939,0.0951,0.1683,0.0958,0.182,0.1255,0.1038,0.1392,0.1108,0.0936,0.0957,0.0957,0.1263,0.0904,0.0938,0.1229,0.1287,0.0919,0.0922,0.0878,0.1262,0.0904,0.0936,0.1168,0.0931,0.1356,0.1744,0.0979,0.1076,0.1042,0.0901,0.0944,0.0913,0.1178,0.0916,0.0921,0.1094,0.101,0.0943,0.0962,0.0916,0.1963,0.1014,0.0868,0.115,0.091,0.1493,0.1217,0.0914,0.1522
4.998333333,0.0947,0.0954,0.0964,0.1185,0.1277,0.1009,0.1018,0.0959,0.1265,0.104,0.1026,0.1298,0.1469,0.0939,0.0952,0.1722,0.0961,0.1858,0.1269,0.1041,0.141,0.1115,0.0942,0.0965,0.0963,0.1296,0.0905,0.0948,0.123,0.1311,0.0923,0.0927,0.0884,0.1268,0.0908,0.0942,0.1182,0.0937,0.1394,0.1768,0.0985,0.1088,0.1029,0.0909,0.095,0.0921,0.1225,0.0921,0.0929,0.1106,0.1021,0.0948,0.0969,0.0924,0.2008,0.1025,0.0879,0.1171,0.0916,0.1535,0.1258,0.0928,0.1552
9.998383333,0.0952,0.0955,0.0967,0.1212,0.1276,0.1019,0.1019,0.096,0.126,0.1035,0.1029,0.1279,0.1456,0.0937,0.0951,0.1749,0.096,0.1884,0.1288,0.105,0.1407,0.111,0.0942,0.0966,0.0971,0.132,0.0908,0.0947,0.1254,0.1326,0.0922,0.0925,0.0883,0.1279,0.0907,0.0939,0.125,0.0934,0.1431,0.1786,0.0984,0.1083,0.1026,0.0911,0.0949,0.0919,0.1222,0.0919,0.0928,0.1107,0.1032,0.0949,0.0972,0.0923,0.2031,0.1032,0.0879,0.1169,0.0914,0.1539,0.1282,0.0927,0.1556
14.99855,0.0953,0.0954,0.0968,0.1217,0.129,0.1022,0.103,0.0961,0.1284,0.1047,0.1055,0.133,0.1434,0.0935,0.0952,0.1781,0.0969,0.1899,0.1307,0.1095,0.1455,0.111,0.0942,0.0974,0.0974,0.1356,0.0908,0.094,0.1252,0.1336,0.092,0.0925,0.0886,0.1279,0.0908,0.0945,0.1232,0.0935,0.1412,0.1833,0.0992,0.1104,0.1026,0.0912,0.0952,0.0922,0.1261,0.0919,0.0927,0.1112,0.1041,0.0948,0.0977,0.0923,0.2057,0.1053,0.0876,0.1162,0.0913,0.153,0.127,0.0928,0.1572
19.99868333,0.0955,0.0953,0.0968,0.1253,0.1102,0.1029,0.103,0.0961,0.129,0.1051,0.1037,0.1317,0.141,0.0935,0.0952,0.1787,0.0966,0.1901,0.1312,0.1094,0.1417,0.1114,0.0942,0.0973,0.0979,0.1372,0.0907,0.0945,0.126,0.1351,0.0921,0.0923,0.0885,0.1266,0.0908,0.0946,0.1255,0.0934,0.1397,0.1898,0.0998,0.1118,0.1022,0.0912,0.0949,0.0925,0.1286,0.092,0.0927,0.1037,0.107,0.0947,0.0983,0.0924,0.204,0.1062,0.0879,0.1155,0.0914,0.1528,0.1279,0.0935,0.1601
24.99866667,0.0958,0.0956,0.0968,0.1267,0.1114,0.1034,0.1043,0.0964,0.1296,0.107,0.1052,0.1296,0.1396,0.0938,0.0953,0.1834,0.0971,0.1912,0.1322,0.1128,0.1424,0.1116,0.0943,0.0981,0.0976,0.1391,0.0908,0.0949,0.1273,0.1376,0.092,0.0923,0.089,0.1252,0.091,0.0948,0.1274,0.0936,0.1403,0.1955,0.1005,0.1133,0.1035,0.0913,0.0951,0.0927,0.1328,0.0919,0.0926,0.1044,0.1056,0.0948,0.0988,0.0924,0.2055,0.1073,0.0878,0.1145,0.0912,0.153,0.1293,0.0936,0.1629
29.99898333,0.0961,0.0957,0.0971,0.1284,0.1108,0.1044,0.1042,0.0965,0.1329,0.1078,0.1053,0.1293,0.1395,0.0939,0.0954,0.1862,0.0977,0.193,0.1325,0.117,0.1401,0.1116,0.0942,0.0988,0.0977,0.1439,0.0909,0.0948,0.1285,0.1398,0.092,0.0922,0.0891,0.1242,0.0909,0.0948,0.128,0.0936,0.1417,0.202,0.1009,0.1138,0.1083,0.0912,0.0947,0.0927,0.1286,0.092,0.0927,0.1057,0.1042,0.0946,0.0994,0.0929,0.2096,0.1089,0.0878,0.1152,0.0914,0.154,0.1325,0.0943,0.1661
34.99876667,0.0967,0.0957,0.0971,0.1296,0.1119,0.1051,0.1058,0.0966,0.1347,0.1081,0.1073,0.1337,0.1396,0.0942,0.0957,0.2023,0.0983,0.1967,0.1332,0.1178,0.1442,0.1124,0.0943,0.1018,0.0992,0.1529,0.0909,0.0948,0.1285,0.1447,0.0918,0.0923,0.0894,0.1235,0.091,0.095,0.1326,0.0937,0.1428,0.2058,0.1018,0.1153,0.1053,0.0913,0.0944,0.093,0.1312,0.0919,0.0927,0.1056,0.1065,0.0946,0.1003,0.0931,0.214,0.1099,0.0879,0.1182,0.0915,0.1552,0.1321,0.0949,0.1677
39.99898333,0.0969,0.0957,0.0972,0.1339,0.1139,0.1059,0.1078,0.0966,0.136,0.1104,0.1088,0.1364,0.1403,0.0946,0.096,0.1966,0.0997,0.1999,0.134,0.1235,0.1507,0.1128,0.0943,0.103,0.0985,0.1545,0.0911,0.0954,0.1307,0.1469,0.0918,0.0922,0.0898,0.1227,0.091,0.0956,0.1299,0.0937,0.1444,0.212,0.103,0.1156,0.1084,0.0915,0.0944,0.0932,0.1344,0.0922,0.0927,0.1063,0.1074,0.0945,0.1011,0.0929,0.2175,0.1108,0.0878,0.1264,0.0915,0.156,0.1414,0.0951,0.1686
44.99938333,0.0976,0.0959,0.0975,0.1357,0.1133,0.107,0.1077,0.0971,0.1388,0.1107,0.1091,0.1371,0.1405,0.095,0.096,0.2106,0.0996,0.2036,0.1342,0.1264,0.1516,0.1131,0.0943,0.1041,0.0993,0.1596,0.0911,0.0954,0.1311,0.1489,0.0919,0.0922,0.0895,0.1223,0.0912,0.0957,0.1315,0.0938,0.1446,0.2222,0.1042,0.1161,0.1093,0.0915,0.0945,0.0934,0.1368,0.0921,0.0927,0.1063,0.107,0.0945,0.1014,0.0933,0.2249,0.1123,0.0878,0.1276,0.0914,0.1571,0.1354,0.0957,0.1699
